,nom,count,usage_lm
119,"dichlorobenzène-1,4",3,substances chimiques industrielles (utilisation et/ou production)
120,tétrachloroéthylène,3,substances chimiques industrielles (utilisation et/ou production)
121,"dichloroéthane-1,2",3,substances chimiques industrielles (utilisation et/ou production)
122,"somme HAP 4 (benzo(b)fluoranthène, benzo(g,h,i)pérylène, benzo(k)fluoranthène, indéno(1,2,3-cd)pyrène)",3,hydrocarbures aromatiques polycycliques 
123,"indéno(1,2,3-cd)pyrène",3,hydrocarbures aromatiques polycycliques 
124,mesosulfuron-methyl,3,pesticides et leurs métabolites
125,thifensulfuron méthyl,3,pesticides et leurs métabolites
126,hexachlorocyclohexane gamma,3,pesticides et leurs métabolites
127,m+p xylène,3,substances chimiques industrielles (utilisation et/ou production)
128,thiamethoxam,3,pesticides et leurs métabolites
129,tétrachlorure de carbone,3,substances chimiques industrielles (utilisation et/ou production)
130,prosulfuron,3,pesticides et leurs métabolites
131,trichloroéthylène,3,substances chimiques industrielles (utilisation et/ou production)
132,acétochlore,3,pesticides et leurs métabolites
133,bromates,3,"métaux, métalloïdes et autres ions minéraux"
134,piclorame,2,pesticides et leurs métabolites
135,flonicamid,2,pesticides et leurs métabolites
136,"dichloropropane-1,2",2,pesticides et leurs métabolites
137,cadmium,2,"métaux, métalloïdes et autres ions minéraux"
138,chloridazone,2,pesticides et leurs métabolites
139,metconazole,2,pesticides et leurs métabolites
140,benzo(a)pyrène,2,hydrocarbures aromatiques polycycliques 
141,flurtamone,2,pesticides et leurs métabolites
142,iprodione,2,pesticides et leurs métabolites
143,fosthiazate,2,pesticides et leurs métabolites
144,terbutryne,2,pesticides et leurs métabolites
145,métolachlore NOA 413173,2,pesticides et leurs métabolites
146,somme heptachloroépoxyde (heptachlore époxyde exo cis + heptachlore époxyde endo trans,2,pesticides et leurs métabolites
147,hexachlorobutadiène,2,substances chimiques industrielles (utilisation et/ou production)
148,florasulam,1,pesticides et leurs métabolites
149,foramsulfuron,1,pesticides et leurs métabolites
150,heptachlore époxyde exo cis,1,pesticides et leurs métabolites
151,trinexapac-ethyl,1,pesticides et leurs métabolites
152,toluène,1,substances chimiques industrielles (utilisation et/ou production)
153,styrène,1,substances chimiques industrielles (utilisation et/ou production)
154,"dioxane-1,4",1,substances chimiques industrielles (utilisation et/ou production)
155,cyanures totaux,1,substances chimiques industrielles (utilisation et/ou production)
156,fénarimol,1,pesticides et leurs métabolites
157,dichloroacétonitrile,1,substances chimiques industrielles (utilisation et/ou production)
158,diquat,1,pesticides et leurs métabolites
